English,Russian,contagious,заразительный
English,Russian,on premise,на предпосылке
English,Russian,welding,сварка
Russian,English,электрическая розетка,Electrical Outlet
English,Russian,Sleight,Ловкость
English,Russian,comprehend,понять
English,Russian,contemporary,современный
English,Russian,reminiscent,напоминает
English,Russian,accommodate,разместить
English,Russian,grudge,недовольство
English,Russian,wailing,плач
English,Russian,spat,плюнул
English,Russian,chagrin,огорчение
English,Russian,covet,пожелай
English,Russian,juvenescent,молодеющий
English,Russian,soaring,парящий
English,Russian,reliant,зависит
English,Russian,trump,козырь
English,Russian,clay,глина
English,Russian,gout,подагра
English,Russian,severe,тяжелая
English,Russian,chive on,зубок чеснока на
English,Russian,operate,работать
English,Russian,tangled,запутанный
Russian,English,к сожалению,unfortunately
English,Russian,tamper,вмешиваться
English,Russian,perpetual,вечный
English,Russian,unanimously,единогласно
English,Russian,density,плотность
English,Russian,vocational,профессиональное
English,Russian,sacred,священным
English,Russian,angular,угловая
English,Russian,rivet,заклепки
Russian,English,случайно,accident
English,Russian,snipe,бекас
English,Russian,eschew,отказаться
English,Russian,decimated,уничтожены
English,Russian,incursion,вторжение
English,Russian,adjacent,рядом
English,Russian,deliberately,намеренно
English,Russian,vagrancy,бродяжничество
English,Russian,strangle,задушить
English,Russian,devious,окольный
English,Russian,homage,дань
English,Russian,attrition,потертость
English,Russian,posterity,потомство
English,Russian,dilapidated,обветшали
English,Russian,complimentary,бесплатный
English,Russian,intrusive,навязчивым
English,Russian,scorn,презрение
English,Russian,shirk,ширк
English,Russian,pursuing,преследуя
English,Russian,sack,мешок
English,Russian,virtue,добродетель
English,Russian,leech,пиявка
English,Russian,plead,судиться
English,Russian,orifices,отверстия
English,Russian,surge,всплеск
English,Russian,obstinate,упрямый
English,Russian,crevasse,Трещина
English,Russian,cognitive,когнитивный
English,Russian,thorns,шипы
English,Russian,stance,позиция
English,Russian,relentless,неустанный
English,Russian,conform,соответствовать
English,Russian,veil,вуаль
English,Russian,across,через
English,Russian,arcane,тайный
English,Russian,quarry,карьер
English,Russian,condemned,осужденный
English,Russian,dignitaries,сановники
English,Russian,lackadaisical,вялый
English,Russian,staunch,стойкий
English,Russian,wedge,клин
English,Russian,aide,помощник
English,Russian,choke,дроссель
English,Russian,sleazy,неряшливый
English,Russian,toll,потери
English,Russian,daunt,устрашать
English,Russian,profound,глубокий
English,Russian,deter,удерживать
English,Russian,squeaked,пискнул
English,Russian,smuggle,заниматься контрабандой
English,Russian,reinforce,укреплять
English,Russian,sodomize,изнасиловать
English,Russian,convict,осужденный
English,Russian,ringleaders,главари
English,Russian,aspiring,стремящийся
English,Russian,shivering,дрожь
English,Russian,ardent,ярый
English,Russian,abolition,отмена
English,Russian,adultery,прелюбодеяние
English,Russian,commandment,заповедь
English,Russian,impudent,наглый
English,Russian,barred,запрещенный
English,Russian,repent,каяться
English,Russian,arson,поджог
English,Russian,melon,дыня
English,Russian,wharf,причал
English,Russian,munch,жевать
English,Russian,sour,кислый
English,Russian,prawn,креветки
English,Russian,dilapidated,полуразрушенный
English,Russian,swanky,шикарный
English,Russian,meadow,луг
English,Russian,splurge,бахвальство
English,Russian,ursine,медвежий
German,Russian,perplex,ошеломленный
English,Russian,fret,беспокоиться
English,Russian,furnace,печь
English,Russian,welder,сварщик
English,Russian,apostle,апостол
English,Russian,stench,вонь
English,Russian,blunt,тупой
English,Russian,lucid,ясный
English,Russian,abalone,морское ушко
English,Russian,cabinet,кабинет
English,Russian,Maleficent,пагубный
Russian,English,палата,chamber
Russian,English,одержим,obsessed
English,Russian,tangent,касательный
English,Russian,superstition,суеверие
English,Russian,profanity,профанация
English,Russian,inept,неподходящий
English,Russian,hoisting,подъем
English,Russian,daunting,сложной
English,Russian,cute,милый
English,Russian,consideration,рассмотрение
English,Russian,austere,строгий
English,Russian,baulk,балка
English,Russian,tainted,испорченный
English,Russian,evict,выселять
English,Russian,eviction,выселение
English,Russian,noxious,вредный
English,Russian,hawsers,тросы
English,Russian,attrition,истощение
English,Russian,meagre,скудный
English,Russian,brace,фигурная скобка
English,Russian,containment,сдерживания
English,Russian,vanquish,побеждать
English,Russian,peculiar,своеобразный
English,Russian,incarcerated,заключенный
English,Russian,itinerary,маршрут
English,Russian,wrath,гнев
English,Russian,strive,добиваться
English,Russian,mean,значить
English,Russian,muster,собирать
English,Russian,inquiry,запрос
English,Russian,plummet,отвес
English,Russian,vernal,весенний
English,Russian,equinox,равноденствие
English,Russian,capricious,капризный
English,Russian,abomination,мерзость
English,Russian,banter,подшучивать
English,Russian,ripple,пульсация
English,Russian,swallow,глотать
English,Russian,arousal,пробуждение
English,Russian,assuage,успокаивать
English,Russian,abatement,снижение
English,Russian,smuggler,контрабандист
English,Russian,transient,преходящий
English,Russian,Serendipity,интуитивная прозорливость
English,Russian,succinct,краткий
English,Russian,emit,испускать
English,Russian,envisage,предусмотреть
English,Russian,apprehensive,опасающийся
English,Russian,indignation,возмущение
English,Russian,creak,скрип
